target,cause,feature,coefficient,absolute_coefficient,effect
target_1,Потеря ориентации в установке,error_wrong_equipment_count,1.562733385464815,1.562733385464815,increases_probability
target_1,Потеря ориентации в установке,action_extra_count,1.1262922232152675,1.1262922232152675,increases_probability
target_1,Потеря ориентации в установке,action_unique_equipment_count,1.0782040537959288,1.0782040537959288,increases_probability
target_1,Потеря ориентации в установке,error_count,0.714880593304328,0.714880593304328,increases_probability
target_1,Потеря ориентации в установке,action_count,0.7025811888420838,0.7025811888420838,increases_probability
target_1,Потеря ориентации в установке,action_correct_ratio,-0.5756917964099284,0.5756917964099284,decreases_probability
target_1,Потеря ориентации в установке,action_repeated_count,0.49794061992307864,0.49794061992307864,increases_probability
target_1,Потеря ориентации в установке,time_to_first_action_s,0.3418688475456511,0.3418688475456511,increases_probability
target_1,Потеря ориентации в установке,error_wrong_sequence_count,-0.2866300111236141,0.2866300111236141,decreases_probability
target_1,Потеря ориентации в установке,error_missed_action_count,-0.25811906077128755,0.25811906077128755,decreases_probability
target_1,Потеря ориентации в установке,alarm_severity_critical_count,-0.19123655667362854,0.19123655667362854,decreases_probability
target_1,Потеря ориентации в установке,error_wrong_parameter_value_count,-0.18943810770578107,0.18943810770578107,decreases_probability
target_1,Потеря ориентации в установке,equipment_state_changed_action_ratio,0.16425278778399977,0.16425278778399977,increases_probability
target_1,Потеря ориентации в установке,expected_action_count,-0.15001266500605612,0.15001266500605612,decreases_probability
target_1,Потеря ориентации в установке,expected_completed_count,-0.14616025710238564,0.14616025710238564,decreases_probability
target_1,Потеря ориентации в установке,error_max_interval_s,0.13772450271962597,0.13772450271962597,increases_probability
target_1,Потеря ориентации в установке,alarm_mean_relevant_action_delay_s,-0.1353969088506564,0.1353969088506564,decreases_probability
target_1,Потеря ориентации в установке,error_wrong_action_type_count,-0.12918602172037835,0.12918602172037835,decreases_probability
target_1,Потеря ориентации в установке,action_max_idle_s,-0.12295906961900077,0.12295906961900077,decreases_probability
target_1,Потеря ориентации в установке,action_max_interval_s,-0.11228435611117792,0.11228435611117792,decreases_probability
target_1,Потеря ориентации в установке,alarm_count,-0.09839225820911467,0.09839225820911467,decreases_probability
target_1,Потеря ориентации в установке,alarm_active_at_end_count,-0.09791587803287063,0.09791587803287063,decreases_probability
target_1,Потеря ориентации в установке,error_mean_interval_s,0.0874934774654017,0.0874934774654017,increases_probability
target_1,Потеря ориентации в установке,alarm_max_relevant_action_delay_s,-0.08747977558481143,0.08747977558481143,decreases_probability
target_1,Потеря ориентации в установке,session_duration_wall_s,-0.07352045319828106,0.07352045319828106,decreases_probability
target_1,Потеря ориентации в установке,error_delayed_action_count,-0.0639470180291487,0.0639470180291487,decreases_probability
target_1,Потеря ориентации в установке,error_last_at_s,-0.060647524590881324,0.060647524590881324,decreases_probability
target_1,Потеря ориентации в установке,equipment_state_observed_action_ratio,0.03725293174881249,0.03725293174881249,increases_probability
target_1,Потеря ориентации в установке,error_unique_type_count,0.03134365104151154,0.03134365104151154,increases_probability
